optimizer,best_lr,val_mean,val_std,val_ci_low,val_ci_high,steps_to_target_mean,seeds_reaching_target,peak_mem_mb,step_time_ms,opt_state_mb,n_seeds
sgd_momentum,0.4436687330978616,3.181307205557823,0.003226575853144156,3.1786871194839477,3.1837306141853334,520.0,5/5,3512.6881280000002,176.16580182491816,1.179648,5
adamw,0.002955209235202888,3.17626990377903,0.002142495433777824,3.1743131458759306,3.1776768296957014,400.0,5/5,3513.867776,240.80691700000716,2.359392,5
lion,0.0006660846290809161,3.1881138920783996,0.0018617490204691244,3.1866387724876404,3.1895890116691588,540.0,5/5,3512.6881280000002,100.3711462749452,1.179648,5
sophia,0.0005817091329374358,3.181899979710579,0.0012985386688035222,3.1809126436710358,3.182810568809509,500.0,5/5,3513.867776,382.57545152504827,2.359296,5
