optimizer,best_lr,val_mean,val_std,val_ci_low,val_ci_high,steps_to_target_mean,seeds_reaching_target,peak_mem_mb,step_time_ms,opt_state_mb,n_seeds
sgd_momentum,0.21544346900318834,2.476698858042558,0.0010986865410089048,2.4755971282720566,2.477794475853443,400.0,3/3,5876.08832,947.710083666471,4.58752,3
adamw,0.001,2.4369930972655616,0.00046809509109434476,2.4365443736314774,2.4374784156680107,100.0,3/3,5880.67584,339.88441586696234,9.175808,3
lion,0.00030000000000000014,2.446108723680178,0.001121508993603245,2.4454182982444763,2.447402760386467,200.0,3/3,5876.08832,246.79772746628927,4.58752,3
sophia,0.00046415888336127773,2.44210043301185,0.0003954518625077806,2.4417364075779915,2.442521184682846,200.0,3/3,5880.67584,262.21713859950734,9.17504,3
