steps_to_target,optimizer,lr,best_val
,adamw,0.001,2.3309307160200894
,adamw,0.004641588833612777,0.029490817241646625
,adamw,0.021544346900318832,0.01791126526616238
,adamw,0.1,0.13953649153312048
,lion,0.0001,5.683953896275273
,lion,0.00046415888336127773,4.496919868610523
,lion,0.002154434690031882,0.571542195920591
,lion,0.01,0.06054771335588561
