optimizer,lr,best_val,steps_to_target
sgd_momentum,0.001,3.6071165055036545,
sgd_momentum,0.0015013107289081728,3.567959412932396,
sgd_momentum,0.002253933904734791,3.5319051444530487,
sgd_momentum,0.003383855153428233,3.495237112045288,
sgd_momentum,0.005080218046913023,3.456198677420616,
sgd_momentum,0.007626985859023444,3.416602835059166,
sgd_momentum,0.011450475699382817,3.3725466132164,
sgd_momentum,0.017190722018585746,3.330291211605072,
sgd_momentum,0.025808615404180755,3.2937573045492172,
sgd_momentum,0.03874675120456132,3.260734498500824,
sgd_momentum,0.05817091329374361,3.2387368381023407,
sgd_momentum,0.08733261623828438,3.2212513089179993,
sgd_momentum,0.13111339374215644,3.203679919242859,
sgd_momentum,0.19684194472866132,3.194410026073456,600
sgd_momentum,0.2955209235202888,3.1856983304023743,500
sgd_momentum,0.4436687330978616,3.181028261780739,500
sgd_momentum,0.6660846290809161,3.1895935982465744,600
sgd_momentum,1.0,3.2035573571920395,
adamw,1e-05,3.5967567414045334,
adamw,1.5013107289081743e-05,3.5521986335515976,
adamw,2.2539339047347888e-05,3.5070797950029373,
adamw,3.383855153428233e-05,3.458564132452011,
adamw,5.0802180469130226e-05,3.4103986769914627,
adamw,7.626985859023451e-05,3.3555415868759155,
adamw,0.00011450475699382812,3.305332660675049,
adamw,0.00017190722018585745,3.265421077609062,
adamw,0.00025808615404180767,3.2384672313928604,
adamw,0.0003874675120456132,3.216108590364456,
adamw,0.0005817091329374358,3.200256332755089,
adamw,0.0008733261623828437,3.1917619109153748,500
adamw,0.0013111339374215643,3.1814001202583313,500
adamw,0.0019684194472866135,3.178241789340973,400
adamw,0.002955209235202888,3.176211655139923,500
adamw,0.004436687330978616,3.182222008705139,500
adamw,0.006660846290809161,3.1847648173570633,600
adamw,0.01,3.1905565708875656,600
lion,1e-06,3.672857701778412,
lion,1.5013107289081742e-06,3.671359419822693,
lion,2.2539339047347887e-06,3.665846273303032,
lion,3.3838551534282333e-06,3.6592303216457367,
lion,5.0802180469130224e-06,3.646519437432289,
lion,7.626985859023451e-06,3.6246714740991592,
lion,1.1450475699382812e-05,3.5845813006162643,
lion,1.7190722018585747e-05,3.5310708582401276,
lion,2.5808615404180768e-05,3.4728513062000275,
lion,3.874675120456128e-05,3.409123882651329,
lion,5.817091329374358e-05,3.3421668261289597,
lion,8.733261623828437e-05,3.283155381679535,
lion,0.00013111339374215642,3.238415241241455,
lion,0.00019684194472866133,3.212815150618553,
lion,0.0002955209235202888,3.1954628974199295,600
lion,0.0004436687330978616,3.191182628273964,600
lion,0.0006660846290809161,3.187156915664673,600
lion,0.001,3.1936725825071335,600
sophia,1e-05,3.594668537378311,
sophia,1.5013107289081743e-05,3.545595034956932,
sophia,2.2539339047347888e-05,3.483814463019371,
sophia,3.383855153428233e-05,3.417602449655533,
sophia,5.0802180469130226e-05,3.3477142304182053,
sophia,7.626985859023451e-05,3.2852673530578613,
sophia,0.00011450475699382812,3.2371627539396286,
sophia,0.00017190722018585745,3.206150472164154,
sophia,0.00025808615404180767,3.1922983527183533,600
sophia,0.0003874675120456132,3.1839043498039246,600
sophia,0.0005817091329374358,3.1810057163238525,500
sophia,0.0008733261623828437,3.1872884780168533,600
sophia,0.0013111339374215643,3.1895773708820343,600
sophia,0.0019684194472866135,3.1956390142440796,800
sophia,0.002955209235202888,3.2141003459692,
sophia,0.004436687330978616,3.2920130789279938,
sophia,0.006660846290809161,6.2610689997673035,
sophia,0.01,11.55216783285141,
