optimizer,best_lr,val_mean,val_std,val_ci_low,val_ci_high,steps_to_target_mean,peak_mem_mb,step_time_ms,opt_state_mb,n_seeds
adamw,0.001,3.5187689065933228,0.007263334991276412,3.5136329531669617,3.523904860019684,20.0,2173.481984,51.245297500281595,2.359392,2
lion,0.0001,3.683018922805786,0.001493515723832041,3.6819628477096558,3.6840749979019165,,2172.302336,50.50544249979794,1.179648,2
