optimizer,lr,best_val,steps_to_target
sgd_momentum,0.01,2.6837804317474365,
sgd_momentum,0.021544346900318832,2.610695354640484,
sgd_momentum,0.046415888336127774,2.5531834959983826,
sgd_momentum,0.1,2.5107302144169807,
sgd_momentum,0.21544346900318834,2.4755971282720566,400
sgd_momentum,0.46415888336127775,6.10248675942421,
sgd_momentum,1.0,5.764706879854202,
adamw,0.0001,2.541126735508442,
adamw,0.00021544346900318845,2.483658015727997,
adamw,0.00046415888336127773,2.451798565685749,200
adamw,0.001,2.4365443736314774,100
adamw,0.002154434690031882,2.4387433156371117,100
adamw,0.004641588833612777,2.4550906121730804,200
adamw,0.01,2.4948079138994217,
lion,3.000000000000001e-05,2.6733473539352417,
lion,6.46330407009565e-05,2.5615683645009995,
lion,0.00013924766500838338,2.4791133105754852,500
lion,0.00030000000000000014,2.4455051124095917,200
lion,0.0006463304070095649,2.4524494409561157,200
lion,0.0013924766500838337,2.484713263809681,
lion,0.003000000000000001,2.5618657395243645,
sophia,0.0001,2.49715755879879,
sophia,0.00021544346900318845,2.450703449547291,200
sophia,0.00046415888336127773,2.4417364075779915,200
sophia,0.001,2.461987592279911,200
sophia,0.002154434690031882,2.5105851218104362,
sophia,0.004641588833612777,3.707833245396614,
sophia,0.01,15.486762940883636,
